candidate,valid,selected,selected_prob,distance,battery_after_travel,is_customer,is_charger,is_depot,demand,arrival_time
4,1,1,0.07818836718797684,0.4498632550239563,75.70463961362839,1,0,0,4.0,1.6421380192041397
25,1,0,0.07812158018350601,0.7233389019966125,75.43116396665573,1,0,0,5.0,1.915613666176796
23,1,0,0.07782651484012604,0.258502334356308,75.89600053429604,1,0,0,5.0,1.4507770985364914
8,1,0,0.0777268260717392,0.2661634683609009,75.88833940029144,1,0,0,6.0,1.4584382325410843
12,1,0,0.07760120928287506,0.4945356547832489,75.6599672138691,1,0,0,6.0,1.6868104189634323
22,1,0,0.07684238255023956,0.4096885621547699,75.74481430649757,1,0,0,4.0,1.6019633263349533
20,1,0,0.07256000488996506,0.370994508266449,75.7835083603859,1,0,0,4.0,1.5632692724466324
16,1,0,0.07175406068563461,0.7530755996704102,75.40142726898193,1,0,0,7.0,1.9453503638505936
3,1,0,0.07164902240037918,0.6858107447624207,75.46869212388992,1,0,0,6.0,1.878085508942604
21,1,0,0.07105674594640732,0.734906792640686,75.41959607601166,1,0,0,4.0,1.9271815568208694
5,1,0,0.07076028734445572,0.7936151623725891,75.36088770627975,1,0,0,6.0,1.9858899265527725
7,1,0,0.06465842574834824,0.27237141132354736,75.8821314573288,1,0,0,7.0,1.4646461755037308
15,1,0,0.06362685561180115,0.21308447420597076,75.94141839444637,1,0,0,2.0,1.4053592383861542
10,1,0,0.045109935104846954,0.23535171151161194,75.91915115714073,1,0,0,4.0,1.4276264756917953
18,1,0,0.0025177369825541973,0.23168420791625977,75.92281866073608,1,0,0,2.0,1.4239589720964432
0,1,0,0.0,0.6619788408279419,75.4925240278244,0,0,1,0.0,1.8542536050081253
2,1,0,0.0,0.30728450417518616,75.84721836447716,0,1,0,0.0,1.4995592683553696
6,1,0,0.0,0.40819352865219116,75.74630934000015,0,1,0,0.0,1.6004682928323746
11,1,0,0.0,0.15871064364910126,75.99579222500324,0,1,0,0.0,1.3509854078292847
13,1,0,0.0,0.3219957947731018,75.83250707387924,0,1,0,0.0,1.5142705589532852
14,1,0,0.0,0.29268941283226013,75.86181345582008,1,0,0,5.0,1.4849641770124435
17,1,0,0.0,0.7431586384773254,75.41134423017502,0,1,0,0.0,1.9354334026575089
24,1,0,0.0,0.1564820408821106,75.99802082777023,0,1,0,0.0,1.348756805062294
1,0,0,0.0,0.42958369851112366,75.72491917014122,1,0,0,2.0,1.621858462691307
9,0,0,0.0,0.0,76.15450286865234,1,0,0,7.0,1.1922747641801834
19,0,0,0.0,0.2929631173610687,75.86153975129128,1,0,0,1.0,1.4852378815412521
