candidate,valid,selected,selected_prob,distance,time_slack,battery_after_travel,is_customer,is_charger,is_depot,temporal_applicable,demand,arrival_time,ready_time,due_time,waiting_time,service_time
10,1,1,0.3855055570602417,0.09505226463079453,2.419003404676914,98.4190087094903,1,0,0,1,4.0,1.5809965953230858,0.0,4.0,0.0,0.0
19,1,0,0.3600428104400635,0.40426719188690186,2.109788477420807,98.10979378223419,1,0,0,1,1.0,1.8902115225791931,0.0,4.0,0.0,0.0
15,1,0,0.19263911247253418,0.12499283999204636,2.3890628293156624,98.38906813412905,1,0,0,1,2.0,1.6109371706843376,0.0,4.0,0.0,0.0
4,1,0,0.04435337334871292,0.6616793870925903,1.8523762822151184,97.8523815870285,1,0,0,1,4.0,2.1476237177848816,0.0,4.0,0.0,0.0
9,1,0,0.016378838568925858,0.29268941283226013,2.2213662564754486,98.22137156128883,1,0,0,1,7.0,1.7786337435245514,0.0,4.0,0.0,0.0
12,1,0,0.000669452827423811,0.7512025833129883,1.7628530859947205,97.7628583908081,1,0,0,1,6.0,2.2371469140052795,0.0,4.0,0.0,0.0
18,1,0,0.00025993434246629477,0.29232338070869446,2.2217322885990143,98.2217375934124,1,0,0,1,2.0,1.7782677114009857,0.0,4.0,0.0,0.0
8,1,0,5.586991392192431e-05,0.5584083795547485,1.9556472897529602,97.95565259456635,1,0,0,1,6.0,2.04435271024704,0.0,4.0,0.0,0.0
7,1,0,5.4738840844947845e-05,0.4328281581401825,2.0812275111675262,98.08123281598091,1,0,0,1,7.0,1.9187724888324738,0.0,4.0,0.0,0.0
23,1,0,4.001152410637587e-05,0.5505525469779968,1.963503122329712,97.9635084271431,1,0,0,1,5.0,2.036496877670288,0.0,4.0,0.0,0.0
22,1,0,2.528590243855433e-07,0.7006115317344666,1.8134441375732422,97.81344944238663,1,0,0,1,4.0,2.186555862426758,0.0,4.0,0.0,0.0
20,1,0,1.051171505395132e-08,0.6500840783119202,1.8639715909957886,97.86397689580917,1,0,0,1,4.0,2.1360284090042114,0.0,4.0,0.0,0.0
3,1,0,2.0589287924328153e-13,0.9784987568855286,1.5355569124221802,97.53556221723557,1,0,0,1,6.0,2.46444308757782,0.0,4.0,0.0,0.0
16,1,0,9.620086574135128e-14,1.0452276468276978,1.468828022480011,97.4688333272934,1,0,0,1,7.0,2.531171977519989,0.0,4.0,0.0,0.0
5,1,0,5.418631758636922e-16,1.0861707925796509,1.4278848767280579,97.42789018154144,1,0,0,1,6.0,2.572115123271942,0.0,4.0,0.0,0.0
21,1,0,4.960764393229465e-16,1.0275882482528687,1.48646742105484,97.48647272586823,1,0,0,1,4.0,2.51353257894516,0.0,4.0,0.0,0.0
0,1,0,2.382207389352189e-44,0.930141031742096,,97.583919942379,0,0,1,0,0.0,2.416085362434387,0.0,4.0,0.0,0.0
2,1,0,0.0,0.44993478059768677,,98.0641261935234,0,1,0,0,0.0,1.935879111289978,0.0,4.0,0.0,0.0
6,1,0,0.0,0.29177480936050415,,98.22228616476059,0,1,0,0,0.0,1.7777191400527954,0.0,4.0,0.0,0.0
11,1,0,0.0,0.4387543201446533,,98.07530665397644,0,1,0,0,0.0,1.9246986508369446,0.0,4.0,0.0,0.0
13,1,0,0.0,0.6107922792434692,,97.90326869487762,0,1,0,0,0.0,2.0967366099357605,0.0,4.0,0.0,0.0
17,1,0,0.0,0.8484423756599426,,97.66561859846115,0,1,0,0,0.0,2.334386706352234,0.0,4.0,0.0,0.0
24,1,0,0.0,0.14575514197349548,,98.3683058321476,0,1,0,0,0.0,1.6316994726657867,0.0,4.0,0.0,0.0
1,0,0,0.0,0.5695754289627075,1.9444802403450012,97.94448554515839,1,0,0,1,2.0,2.055519759654999,0.0,4.0,0.0,0.0
14,0,0,0.0,0.0,2.5140556693077087,98.5140609741211,1,0,0,1,5.0,1.4859443306922913,0.0,4.0,0.0,0.0
25,0,0,0.0,0.8205091953277588,1.69354647397995,97.69355177879333,1,0,0,1,5.0,2.30645352602005,0.0,4.0,0.0,0.0
